Frequency_Response,FrequencyResponse,Noise Floor
Hz,dBSPL,dBSPL
3849.9113,96.6096,-5.3566
3962.7936,95.919,3.1066
4078.9858,95.8896,7.9644
4198.5847,95.6453,4.18
4321.6904,94.8245,2.0072
4448.4057,93.4881,8.4152
4578.8363,92.2915,-3.0496
4713.0912,93.174,7.9523
4851.2827,93.3308,2.6998
4993.5259,93.6996,9.9113
5139.9399,93.2765,6.1079
5290.6469,93.8268,4.2855
5445.7726,93.8879,5.3242
5605.4468,94.1351,1.7991
5769.8028,94.8104,6.3832
5938.9778,95.3401,1.5029
6113.1131,96.0387,9.2639
6292.3542,95.4644,2.468
6476.8508,94.4649,3.7091
6666.757,94.0466,2.6047
6862.2314,93.6073,-2.291
7063.4372,94.4574,1.8784
7270.5426,94.6849,8.7546
7483.7204,95.048,1.3843
7703.1488,94.9574,1.6155
7929.0109,94.6776,9.4776
8161.4956,94.24,2.9178
8400.7968,95.4548,5.7714
8647.1146,94.9442,6.6165
8900.6545,95.173,5.749
9161.6285,95.1423,5.3451
9430.2544,95.2211,10.8982
9706.7566,95.0672,2.5922
9991.3661,95.31,7.5316
10284.3205,94.4899,3.1483
10585.8646,93.4694,6.2668
10896.2502,94.0563,5.3432
11215.7365,93.5152,6.0393
11544.5904,93.1021,5.7179
11883.0866,92.7053,0.16296
12231.5077,93.4643,3.6257
12590.1448,93.5395,6.3655
12959.2974,93.3794,-0.98837
13339.2738,93.5072,3.5779
13730.3915,92.3516,-0.33336
14132.977,93.3469,3.5663
14547.3666,94.53,7.3679
14973.9064,93.7846,1.4304
15412.9527,94.1679,7.7231
15864.8722,91.7537,8.5511
16330.0423,90.9735,8.4252
16808.8515,91.3878,4.281
17301.6998,90.3575,1.1522
17808.9988,88.8543,2.2999
18331.1722,89.9654,-2.1732
18868.656,88.8966,1.1204
19421.8994,87.4177,17.9112
19991.3642,88.7144,7.6788
20577.5262,89.449,6.578
21180.8749,88.399,12.1715
21801.9142,87.8054,11.9242
22441.1629,88.0838,10.7262
23099.1548,88.7755,7.4793
23776.4396,90.5348,11.7769
24473.5828,91.1586,11.5119
25191.1669,91.6351,8.138
25929.791,93.1738,7.0998
26690.0722,94.4673,4.9767
27472.6453,96.8139,7.4407
28278.1642,98.8835,2.0418
29107.3014,102.6924,13.8257
29960.7496,106.2124,14.4208
30839.2215,103.1169,10.4156
31743.4509,98.0325,5.3835
32674.193,93.705,7.7872
33632.2251,89.8094,7.7593
34618.3475,87.0684,1.0054
35633.3837,85.8879,-3.6853
36678.1816,84.8934,-3.7548
37753.6137,82.6604,-1.2607
38860.5783,80.4422,7.7437
40000,-Inf,-Inf
