Frequency_Response,FrequencyResponse,Noise Floor
Hz,dBSPL,dBSPL
3633.7016,96.5151,-5.5615
3740.2445,96.2414,-7.2977
3849.9113,96.4476,-6.8489
3962.7936,96.6153,-1.1422
4078.9858,96.7017,-10.1714
4198.5847,96.3891,3.2237
4321.6904,95.8234,-6.252
4448.4057,95.1383,1.9703
4578.8363,93.6271,-2.7479
4713.0912,95.2807,-2.0291
4851.2827,95.5014,-8.6921
4993.5259,96.7554,-3.9761
5139.9399,96.1763,9.1214
5290.6469,96.8915,4.198
5445.7726,96.89,0.28852
5605.4468,96.0455,-0.66339
5769.8028,95.1544,-1.0521
5938.9778,96.3222,2.8989
6113.1131,96.2457,0.67415
6292.3542,96.5748,-3.0419
6476.8508,95.3497,-0.71225
6666.757,95.0106,-1.4443
6862.2314,94.6102,1.4988
7063.4372,93.5538,-6.1676
7270.5426,93.5015,-1.8007
7483.7204,92.3952,-12.4308
7703.1488,91.7122,4.0782
7929.0109,91.0633,-0.56279
8161.4956,89.8974,-7.9714
8400.7968,89.5251,-3.6862
8647.1146,90.1204,-2.0877
8900.6545,89.0762,-0.90671
9161.6285,88.9922,-1.1254
9430.2544,87.825,-6.4644
9706.7566,87.7532,4.8001
9991.3661,87.5017,-1.5619
10284.3205,87.7902,-3.8033
10585.8646,86.3949,1.1805
10896.2502,85.1668,-14.8367
11215.7365,84.2046,-2.9896
11544.5904,82.3994,-0.053196
11883.0866,81.8243,-6.635
12231.5077,83.2695,-6.9568
12590.1448,83.1917,-8.6241
12959.2974,82.0062,1.3
13339.2738,80.7819,1.7113
13730.3915,82.117,-0.041415
14132.977,81.142,-11.1256
14547.3666,81.2488,-11.5269
14973.9064,81.421,-3.5364
15412.9527,81.7084,-7.8743
15864.8722,79.6576,0.91203
16330.0423,77.6469,-0.68153
16808.8515,76.7897,-9.6931
17301.6998,76.7691,4.6796
17808.9988,76.9016,-2.2225
18331.1722,76.0281,-5.2362
18868.656,75.4147,-5.9671
19421.8994,74.0158,5.8949
19991.3642,74.2577,1.0603
20577.5262,74.534,-0.011286
21180.8749,76.9721,-1.3625
21801.9142,74.5181,-28.6092
22441.1629,72.4748,-0.99827
23099.1548,73.0496,6.1182
23776.4396,72.2896,-1.1144
24473.5828,74.2162,9.811
25191.1669,71.5137,2.795
25929.791,71.5397,-1.439
26690.0722,72.9303,0.6485
27472.6453,72.1527,-6.1573
28278.1642,72.6164,-4.7243
29107.3014,73.5469,6.5586
29960.7496,75.3428,-1.8063
30839.2215,70.1046,-10.5929
31743.4509,62.4016,-1.3269
32674.193,56.5221,-4.9109
33632.2251,50.7335,-3.029
34618.3475,50.2995,2.2426
35633.3837,49.4522,-0.46924
36678.1816,49.9022,3.4024
37753.6137,50.5047,-1.64
38860.5783,50.6353,-7.2993
40000,-Inf,-Inf
