Frequency_Response,FrequencyResponse,Noise Floor
Hz,dBSPL,dBSPL
4321.6904,94.6241,15.1663
4448.4057,93.7756,1.3141
4578.8363,92.5637,19.4166
4713.0912,94.0602,17.4707
4851.2827,93.9832,9.9629
4993.5259,94.4165,14.3854
5139.9399,93.8032,10.777
5290.6469,94.0799,11.7495
5445.7726,94.5246,1.2151
5605.4468,94.7341,15.5436
5769.8028,95.3172,12.0752
5938.9778,96.5486,15.5986
6113.1131,96.9326,7.2266
6292.3542,96.6778,15.404
6476.8508,95.8177,12.62
6666.757,94.4763,10.4058
6862.2314,94.0982,20.9724
7063.4372,94.0767,-0.38046
7270.5426,96.2355,13.5717
7483.7204,96.9128,12.9825
7703.1488,97.4867,16.2591
7929.0109,96.5926,16.0499
8161.4956,97.6809,15.1552
8400.7968,97.5549,11.4554
8647.1146,97.7007,9.6617
8900.6545,96.9407,9.233
9161.6285,96.0882,14.2764
9430.2544,97.0017,13.2605
9706.7566,98.7052,12.2937
9991.3661,98.4904,11.6575
10284.3205,96.9649,13.8643
10585.8646,96.6654,19.092
10896.2502,95.954,7.7953
11215.7365,95.0463,18.3981
11544.5904,95.6711,24.713
11883.0866,97.1424,19.5631
12231.5077,96.5969,13.0566
12590.1448,94.9595,14.5313
12959.2974,95.7577,9.4392
13339.2738,95.8223,14.3584
13730.3915,96.0704,17.3857
14132.977,95.3204,13.1577
14547.3666,96.0461,12.7577
14973.9064,96.3408,17.7857
15412.9527,96.5808,4.6243
15864.8722,94.5315,11.5608
16330.0423,93.4721,19.1988
16808.8515,93.0757,17.0968
17301.6998,91.7275,22.6035
17808.9988,92.1451,25.1623
18331.1722,92.28,18.0218
18868.656,90.1407,13.6541
19421.8994,89.9196,24.6354
19991.3642,90.1202,20.8468
20577.5262,90.1056,21.325
21180.8749,88.3863,14.3038
21801.9142,89.6893,23.6789
22441.1629,88.7565,24.8602
23099.1548,90.8484,25.3026
23776.4396,92.0156,11.1692
24473.5828,91.3241,25.5589
25191.1669,92.8445,13.1872
25929.791,94.0522,21.0714
26690.0722,95.0523,21.6358
27472.6453,97.0748,22.6455
28278.1642,99.9798,21.216
29107.3014,103.2887,23.1986
29960.7496,106.1544,13.7078
30839.2215,103.0418,17.9175
31743.4509,97.7387,22.6029
32674.193,92.7925,16.619
33632.2251,89.5571,21.1204
34618.3475,86.7744,-7.9543
35633.3837,85.1713,25.6586
36678.1816,84.2528,29.2964
37753.6137,81.7817,24.3879
38860.5783,78.2089,14.1375
40000,-Inf,-Inf
