Frequency_Response,FrequencyResponse,Noise Floor
Hz,dBSPL,dBSPL
3849.9113,93.1409,9.9382
3962.7936,93.3183,6.9969
4078.9858,93.1045,8.1495
4198.5847,92.361,9.167
4321.6904,92.138,3.1781
4448.4057,90.9751,9.0033
4578.8363,89.6063,3.6678
4713.0912,90.6653,3.5064
4851.2827,90.274,1.7082
4993.5259,91.5787,-0.23424
5139.9399,90.8336,4.1884
5290.6469,91.407,7.0618
5445.7726,91.6824,-5.075
5605.4468,91.1228,8.7287
5769.8028,90.3404,8.0793
5938.9778,91.967,-0.94764
6113.1131,92.0152,7.5143
6292.3542,92.0814,6.2505
6476.8508,91.4016,11.2885
6666.757,91.3062,-2.1527
6862.2314,91.9847,-0.036594
7063.4372,91.6208,6.5934
7270.5426,92.1276,-4.2596
7483.7204,91.4932,11.9545
7703.1488,90.8724,-3.8014
7929.0109,91.1228,8.96
8161.4956,89.8247,5.2132
8400.7968,89.8016,4.348
8647.1146,89.7175,-0.32862
8900.6545,89.7479,5.34
9161.6285,90.4664,6.1898
9430.2544,89.4908,11.1395
9706.7566,88.7066,3.5874
9991.3661,89.1994,9.1623
10284.3205,89.8306,-19.4618
10585.8646,88.8256,13.5638
10896.2502,88.6123,10.3596
11215.7365,88.1482,6.7769
11544.5904,86.2787,2.5622
11883.0866,85.7244,7.6947
12231.5077,87.0704,3.8483
12590.1448,87.423,10.599
12959.2974,86.4818,0.31492
13339.2738,85.0315,-0.11134
13730.3915,86.8553,6.2244
14132.977,85.8375,12.5648
14547.3666,86.5307,5.2042
14973.9064,84.6197,9.5914
15412.9527,85.4477,-0.58542
15864.8722,84.4975,-23.7454
16330.0423,82.574,0.69767
16808.8515,81.5143,12.2233
17301.6998,80.3568,1.2875
17808.9988,80.4666,4.929
18331.1722,79.7281,12.1725
18868.656,79.558,-7.7535
19421.8994,78.3855,8.3244
19991.3642,78.0833,7.8639
20577.5262,75.7392,6.8055
21180.8749,79.2338,7.5602
21801.9142,76.2404,6.2486
22441.1629,74.0187,11.2839
23099.1548,76.7172,-21.4853
23776.4396,75.3169,4.901
24473.5828,77.2925,3.6797
25191.1669,77.3918,5.3129
25929.791,76.1452,-0.11383
26690.0722,77.6108,11.194
27472.6453,79.7434,12.4073
28278.1642,81.7811,12.7279
29107.3014,84.0636,7.9154
29960.7496,87.2178,-2.627
30839.2215,82.3617,9.351
31743.4509,76.1538,-14.7941
32674.193,70.412,1.3974
33632.2251,64.1657,5.3288
34618.3475,61.1634,8.2384
35633.3837,58.091,6.5036
36678.1816,57.262,4.7641
37753.6137,53.9843,2.696
38860.5783,51.2553,2.6951
40000,-Inf,-Inf
