Frequency_Response,FrequencyResponse,Noise Floor
Hz,dBSPL,dBSPL
3633.7016,99.2448,0.94169
3740.2445,99.1731,-5.6298
3849.9113,99.5055,0.34681
3962.7936,98.9153,-3.5518
4078.9858,99.3319,-4.6944
4198.5847,98.9769,-3.686
4321.6904,98.0141,-7.6564
4448.4057,96.9663,-6.6513
4578.8363,96.1168,-8.4976
4713.0912,97.6047,-0.13982
4851.2827,98.0303,4.2479
4993.5259,98.6675,-5.1713
5139.9399,98.5955,-0.97808
5290.6469,98.8472,4.2244
5445.7726,98.7861,3.4347
5605.4468,99.2399,-10.0037
5769.8028,99.2212,-7.2492
5938.9778,99.7735,0.82976
6113.1131,99.9119,-6.3453
6292.3542,98.5919,-6.3471
6476.8508,97.5593,-2.3419
6666.757,96.4814,6.5565
6862.2314,95.851,-5.8102
7063.4372,96.4091,-9.7885
7270.5426,96.576,4.6634
7483.7204,96.7475,3.6544
7703.1488,95.5898,1.0631
7929.0109,94.9737,3.1253
8161.4956,94.6018,-2.7892
8400.7968,95.5521,3.5566
8647.1146,94.1389,-9.0604
8900.6545,93.4969,-1.1464
9161.6285,93.0115,1.4877
9430.2544,92.6221,-0.35143
9706.7566,92.6177,-4.9922
9991.3661,92.1019,-9.183
10284.3205,90.4693,-10.2178
10585.8646,89.7944,0.14462
10896.2502,89.9563,2.1653
11215.7365,88.7866,1.5899
11544.5904,87.6988,-2.7966
11883.0866,87.9292,-7.3835
12231.5077,87.9868,-0.047949
12590.1448,87.5684,-2.5031
12959.2974,87.4789,-0.50698
13339.2738,86.6317,-6.6921
13730.3915,85.7629,-1.9441
14132.977,87.2289,-0.0097932
14547.3666,87.1435,-0.55129
14973.9064,86.5771,-3.4842
15412.9527,87.2461,0.099461
15864.8722,84.8896,-1.2103
16330.0423,84.9355,2.4952
16808.8515,84.4678,-2.9104
17301.6998,82.2432,0.63055
17808.9988,82.2367,0.8264
18331.1722,83.4937,-10.8434
18868.656,81.4609,-6.0031
19421.8994,81.068,-15.407
19991.3642,82.6137,-1.2005
20577.5262,82.8578,4.4765
21180.8749,81.9052,6.5751
21801.9142,81.7301,0.75602
22441.1629,80.1418,-0.37449
23099.1548,82.5908,-6.1258
23776.4396,83.1042,-0.44744
24473.5828,82.4595,1.4561
25191.1669,83.1571,3.5944
25929.791,82.0179,0.23981
26690.0722,82.8507,1.1541
27472.6453,83.7102,1.5669
28278.1642,83.7753,-1.2332
29107.3014,85.7222,0.52807
29960.7496,87.0301,1.6785
30839.2215,82.5805,3.086
31743.4509,75.4841,2.1501
32674.193,70.439,-4.1679
33632.2251,66.348,-1.1093
34618.3475,64.0744,3.7834
35633.3837,64.0755,2.1829
36678.1816,63.6601,3.609
37753.6137,63.5142,1.0004
38860.5783,62.9019,6.6065
40000,-Inf,-Inf
