OpenRefMic correction curve,
Hz,dB
15412.9527,7.101800344
15864.8722,7.187865495
16330.0423,7.259125812
16808.8515,7.317411561
17301.6998,7.364472958
17808.9988,7.4019446
18331.1722,7.431320286
18868.656,7.453935875
19421.8994,7.47095715
19991.3642,7.48336952
20577.5262,7.491861976
21180.8749,7.497269459
21801.9142,7.499781656
22441.1629,7.499455833
23099.1548,7.495984056
23776.4396,7.488571809
24473.5828,7.475749279
25191.1669,7.455080409
